team_id,season,affiliate_league,affiliate,league,team_name,classification,category,location_id,city,state,country,lat,long
2016_SouthAtlantic_Augusta,17,NL,San Francisco Giants,South Atlantic,Augusta,Single A,Minor League,Augusta_GA_US,Augusta,Georgia,United States,33.470971,-81.974843
2016_California_LakeElsinore,2017,National,SD,California,Lake Elsinore,A+,MiLB,LakeElsinore_CA_US,Lake Elsinore,CA,US,33.668077,-117.327261
2016_FloridaState_Lakeland,2017,American,DET,Florida State,Lakeland,A+,MiLB,Lakeland_FL_US,Lakeland,FL,US,28.039465,-81.949804
2016_SouthAtlantic_Lakewood,2017,National,PHI,South Atlantic,Lakewood,A,MiLB,Lakewood_NJ_US,Lakewood,NJ,US,40.097893,-74.217643
2016_Midwest_QuadCities,17,AL,Houston Astros,Midwest,Quad Cities,Single A,Minor League,Davenport_IA_US,Davenport,Iowa,United States,41.523644,-90.577637
2016_Midwest_Lansing,2017,American,TOR,Midwest,Lansing,A,MiLB,Lansing_MI_US,Lansing,MI,US,42.733771,-84.55538
2016_PacificCoast_LasVegas,2017,National,NYM,Pacific Coast,Las Vegas,AAA,MiLB,LasVegas_NV_US,Las Vegas,NV,US,36.166286,-115.149225
2016_International_LehighValley,2017,National,PHI,International,Lehigh Valley,AAA,MiLB,Allentown_PA_US,Allentown,PA,US,40.602206,-75.471279
2016_Midwest_Burlington,17,AL,Los Angeles Angels,Midwest,Burlington,Single A,Minor League,Burlington_IA_US,Burlington,Iowa,United States,40.807539,-91.112923
2016_International_Louisville,2017,National,CIN,International,Louisville,AAA,MiLB,Louisville_KY_US,Louisville,KY,US,38.254238,-85.759407
2016_NewYork-Pennsylvania_Lowell,2017,American,BOS,New York-Pennsylvania,Lowell,A-,MiLB,Lowell_MA_US,Lowell,MA,US,42.633425,-71.316172
2016_Carolina_Lynchburg,2017,American,CLE,Carolina,Lynchburg,A+,MiLB,Lynchburg_VA_US,Lynchburg,VA,US,37.413754,-79.142246
2016_NewYork-Pennsylvania_MahoningValley,2017,American,CLE,New York-Pennsylvania,Mahoning Valley,A-,MiLB,Niles_OH_US,Niles,OH,US,41.182835,-80.765358
2016_Arizona_Mariners,2017,American,SEA,Arizona,Mariners,Rk,MiLB,AZ_US, ,AZ,US,34.395342,-111.763275
2016_DominicanSummer_Mariners,2017,American,SEA,Dominican Summer,Mariners,FRk,MiLB,DO, , ,DO,19.097403,-70.302803
2016_DominicanSummer_Marlins,2017,National,MIA,Dominican Summer,Marlins,FRk,MiLB,DO, , ,DO,19.097403,-70.302803
2016_GulfCoast_Marlins,2017,National,MIA,Gulf Coast,Marlins,Rk,MiLB,FL_US, ,FL,US,27.756767,-81.463983
2016_PacificCoast_Memphis,2017,National,STL,Pacific Coast,Memphis,AAA,MiLB,Memphis_TN_US,Memphis,TN,US,35.149022,-90.051628
2016_Midwest_Clinton,17,AL,Seattle Mariners,Midwest,Clinton,Single A,Minor League,Clinton_IA_US,Clinton,Iowa,United States,41.844474,-90.188738
2016_Midwest_KaneCounty,17,NL,Arizona Diamondbacks,Midwest,Kane County,Single A,Minor League,Geneva_IL_US,Geneva,Illinois,United States,41.887528,-88.305352
2016_Midwest_SouthBend,17,NL,Chicago Cubs,Midwest,South Bend,Single A,Minor League,SouthBend_IN_US,South Bend,Indiana,United States,41.683381,-86.250007
2016_Texas_Midland,2017,American,OAK,Texas,Midland,AA,MiLB,Midland_TX_US,Midland,TX,US,31.997366,-102.077948
2016_Southern_Mississippi,2017,National,ATL,Southern,Mississippi,AA,MiLB,Jackson_MS_US,Jackson,MS,US,32.299038,-90.184769
2016_Pioneer_Missoula,2017,National,ARI,Pioneer,Missoula,Rk,MiLB,Missoula_MT_US,Missoula,MT,US,46.87008,-113.99528
2016_Southern_Mobile,2017,American,LAA,Southern,Mobile,AA,MiLB,Mobile_AL_US,Mobile,AL,US,30.694357,-88.043054
2016_Midwest_FortWayne,17,NL,San Diego Padres,Midwest,Fort Wayne,Single A,Minor League,FortWayne_IN_US,Fort Wayne,Indiana,United States,41.07999,-85.138601
2016_SouthAtlantic_Lexington,17,AL,Kansas City Royals,South Atlantic,Lexington,Single A,Minor League,Lexington_KY_US,Lexington,Kentucky,United States,38.046407,-84.497039
2016_SouthAtlantic_Hagerstown,17,NL,Washington,South Atlantic,Hagerstown,Single A,Minor League,Hagerstown_MD_US,Hagerstown,Maryland,United States,39.641922,-77.720264
