id_person,dob,city,state,country,region,group,lat,long
239014,1995,Ajax,ON,CA,Northern America,Northern America,43.849214,-79.024178
269535,1998,Alanje,,PA,Central America,Latin America and the Caribbean,8.400863,-82.557091
238868,1995,Alexandria,VA,US,Northern America,Northern America,38.80511,-77.047023
257320,1996,Alexandria,VA,US,Northern America,Northern America,38.80511,-77.047023
256570,1995,Alma,MI,US,Northern America,Northern America,43.37892,-84.659727
269594,1997,Almere,Flevoland,NL,Western Europe,Europe,52.441759,5.209315
258503,1995,Alpine,CA,US,Northern America,Northern America,34.539158,-118.106461
271874,1995,Alta Loma,CA,US,Northern America,Northern America,34.122887,-117.598577
256858,1996,Altamira,Puerto Plata,DO,Caribbean,Latin America and the Caribbean,19.676008,-70.834677
290850,1996,Altamira,Puerto Plata,DO,Caribbean,Latin America and the Caribbean,19.676008,-70.834677
292349,1998,Altamira,Puerto Plata,DO,Caribbean,Latin America and the Caribbean,19.676008,-70.834677
291963,1997,Altamonte Springs,FL,US,Northern America,Northern America,28.664906,-81.376269
293731,1998,AltigraciadeOrituco,,VE,South America,Latin America and the Caribbean,8.001871,-66.110932
257577,1995,Amarillo,TX,US,Northern America,Northern America,35.207219,-101.833825
291927,1996,Amarillo,TX,US,Northern America,Northern America,35.207219,-101.833825
238682,1995,Amherst,NY,US,Northern America,Northern America,42.978392,-78.799762
237603,1997,Amsterdam,North Holland,NL,Western Europe,Europe,52.374436,4.897996
223509,1995,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
267008,1997,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
267872,1997,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
289484,1998,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
238766,1995,Anaheim,CA,US,Northern America,Northern America,33.834752,-117.911732
257828,1995,Anaheim,CA,US,Northern America,Northern America,33.834752,-117.911732
291455,1996,Anaheim,CA,US,Northern America,Northern America,33.834752,-117.911732
267962,1997,Anaheim,CA,US,Northern America,Northern America,33.834752,-117.911732
268032,1996,Anchorage,AK,US,Northern America,Northern America,61.216313,-149.894852
270912,1995,Katowice,,PL,Eastern Europe,Europe,50.259432,19.022134
269523,1997,Anzio,Lazio,IT,Southern Europe,Europe,41.448126,12.628688
293448,1997,Anzio,Lazio,IT,Southern Europe,Europe,41.448126,12.628688
223507,1995,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
223534,1995,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
254216,1995,Appleton,WI,US,Northern America,Northern America,44.261134,-88.40676
237795,1996,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
238207,1996,Araure,Portuguesa,VE,South America,Latin America and the Caribbean,9.593133,-69.227284
267033,1996,Araure,Portuguesa,VE,South America,Latin America and the Caribbean,9.593133,-69.227284
267402,1996,Araure,Portuguesa,VE,South America,Latin America and the Caribbean,9.593133,-69.227284
225230,1995,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
238848,1995,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
239890,1995,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
271911,1995,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
268123,1997,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
291962,1997,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
292149,1998,Arecibo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
271918,1997,Arjona,,CO,South America,Latin America and the Caribbean,9.534846,-73.911178
290121,1997,Arjona,,CO,South America,Latin America and the Caribbean,9.534846,-73.911178
268108,1997,Arlington,TX,US,Northern America,Northern America,32.735582,-97.107119
254408,1995,Arlington Heights,IL,US,Northern America,Northern America,42.081268,-87.980066
268291,1995,Arroyo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
291938,1998,Arroyo,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
257629,1996,Arvada,CO,US,Northern America,Northern America,39.821123,-105.220743
257146,1996,Asheville,NC,US,Northern America,Northern America,35.60095,-82.554016
257160,1996,Athens,AL,US,Northern America,Northern America,34.828383,-86.917134
238591,1995,Atlanta,GA,US,Northern America,Northern America,33.749099,-84.390185
238777,1995,Atlanta,GA,US,Northern America,Northern America,33.749099,-84.390185
238975,1995,Atlanta,GA,US,Northern America,Northern America,33.749099,-84.390185
257613,1995,Atlanta,GA,US,Northern America,Northern America,33.749099,-84.390185
259854,1995,Atlanta,GA,US,Northern America,Northern America,33.749099,-84.390185
257537,1996,Atlanta,GA,US,Northern America,Northern America,33.749099,-84.390185
267959,1996,Atlanta,GA,US,Northern America,Northern America,33.749099,-84.390185
267987,1996,Atlanta,GA,US,Northern America,Northern America,33.749099,-84.390185
268010,1996,Atlanta,GA,US,Northern America,Northern America,33.749099,-84.390185
268169,1996,Atlanta,GA,US,Northern America,Northern America,33.749099,-84.390185
290786,1998,Atlanta,GA,US,Northern America,Northern America,33.749099,-84.390185
