id_person,season,classifica,category,league_name,team_name,team_id
17529,2016,MLB,MLB,American,TEX,2016_American_TEX
17615,2016,MLB,MLB,American,DET,2016_American_DET
17615,2016,MLB,MLB,American,DET,2016_American_DET
17818,2016,MLB,MLB,American,CLE,2016_American_CLE
17818,2016,MLB,MLB,American,CLE,2016_American_CLE
18007,2016,MLB,MLB,American,TOR,2016_American_TOR
18007,2016,MLB,MLB,American,TOR,2016_American_TOR
18113,2016,MLB,MLB,National,SF,2016_National_SF
18113,2016,MLB,MLB,National,SF,2016_National_SF
18179,2016,MLB,MLB,American,NYY,2016_American_NYY
18179,2016,MLB,MLB,American,NYY,2016_American_NYY
18465,2016,MLB,MLB,American,TOR,2016_American_TOR
18465,2016,MLB,MLB,American,TOR,2016_American_TOR
18752,2016,MLB,MLB,National,ATL,2016_National_ATL
18752,2016,MLB,MLB,American,TEX,2016_American_TEX
18752,2016,MLB,MLB,American,TEX,2016_American_TEX
18881,2016,MLB,MLB,American,CLE,2016_American_CLE
18881,2016,MLB,MLB,American,CLE,2016_American_CLE
19051,2016,MLB,MLB,American,BOS,2016_American_BOS
19051,2016,MLB,MLB,American,MIN,2016_American_MIN
19051,2016,MLB,MLB,American,MIN,2016_American_MIN
19493,2016,MLB,MLB,American,LAA,2016_American_LAA
19493,2016,MLB,MLB,American,LAA,2016_American_LAA
19505,2016,MLB,MLB,National,SD,2016_National_SD
19505,2016,MLB,MLB,National,SD,2016_National_SD
19662,2016,MLB,MLB,National,CIN,2016_National_CIN
19662,2016,MLB,MLB,National,CIN,2016_National_CIN
19835,2016,MLB,MLB,National,CHC,2016_National_CHC
19835,2016,MLB,MLB,National,CHC,2016_National_CHC
19873,2016,MLB,MLB,American,CLE,2016_American_CLE
19873,2016,MLB,MLB,American,CLE,2016_American_CLE
20017,2016,MLB,MLB,National,SD,2016_National_SD
20017,2016,MLB,MLB,National,SD,2016_National_SD
20176,2016,MLB,MLB,National,PHI,2016_National_PHI
20176,2016,MLB,MLB,National,PHI,2016_National_PHI
20388,2016,MLB,MLB,American,TB,2016_American_TB
20388,2016,MLB,MLB,American,TB,2016_American_TB
20434,2016,MLB,MLB,American,SEA,2016_American_SEA
20434,2016,MLB,MLB,American,SEA,2016_American_SEA
20440,2016,MLB,MLB,National,ARI,2016_National_ARI
20689,2016,MLB,MLB,National,CHC,2016_National_CHC
20689,2016,MLB,MLB,National,CHC,2016_National_CHC
20865,2016,MLB,MLB,American,BAL,2016_American_BAL
21130,2016,MLB,MLB,American,MIN,2016_American_MIN
21130,2016,MLB,MLB,American,MIN,2016_American_MIN
21429,2016,MLB,MLB,National,CIN,2016_National_CIN
21429,2016,MLB,MLB,National,CIN,2016_National_CIN
21576,2016,MLB,MLB,American,HOU,2016_American_HOU
21576,2016,MLB,MLB,National,LAD,2016_National_LAD
21576,2016,MLB,MLB,American,HOU,2016_American_HOU
21576,2016,MLB,MLB,National,LAD,2016_National_LAD
21724,2016,MLB,MLB,American,BAL,2016_American_BAL
21807,2016,MLB,MLB,National,SF,2016_National_SF
21807,2016,MLB,MLB,National,SF,2016_National_SF
21884,2016,MLB,MLB,American,MIN,2016_American_MIN
21884,2016,MLB,MLB,American,TB,2016_American_TB
21884,2016,MLB,MLB,American,MIN,2016_American_MIN
21884,2016,MLB,MLB,American,TB,2016_American_TB
22225,2016,MLB,MLB,American,HOU,2016_American_HOU
22225,2016,MLB,MLB,American,HOU,2016_American_HOU
22282,2016,MLB,MLB,National,ATL,2016_National_ATL
22350,2016,MLB,MLB,American,SEA,2016_American_SEA
22350,2016,MLB,MLB,American,SEA,2016_American_SEA
22967,2016,MLB,MLB,National,PIT,2016_National_PIT
22967,2016,MLB,MLB,American,SEA,2016_American_SEA
22967,2016,MLB,MLB,National,PIT,2016_National_PIT
22967,2016,MLB,MLB,American,SEA,2016_American_SEA
